,aspect ratio,Budget,Cumulative Worldwide Gross,director,genres,year,rating,votes,synopsis,box office
Anchorman,1.85 : 1,"$26,000,000 (estimated)","$90,574,188",[<Person id:0570912[http] name:_Adam McKay_>],['Comedy'],2004,7.1,361907,,
The Warriors,1.85 : 1,"$4,000,000 (estimated)",,[<Person id:0001353[http] name:_Walter Hill_>],"['Action', 'Crime', 'Thriller']",1979,7.5,104372,,
Monty Python and the Holy Grail,1.66 : 1 (negative ratio),"GBP229,575 (estimated)","$5,028,948","[<Person id:0000416[http] name:_Terry Gilliam_>, <Person id:0001402[http] name:_Terry Jones_>]","['Adventure', 'Comedy', 'Fantasy']",1975,8.2,545720,,
Spider-Man: Far From Home,1.78 : 1 (Midtown High School News Report),"$160,000,000 (estimated)","$1,131,927,996",[<Person id:1218281[http] name:_Jon Watts_>],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",2019,7.4,500205,,
Spider-Man: No Way Home,1.90 : 1 (IMAX version),"$200,000,000 (estimated)","$1,892,747,988",[<Person id:1218281[http] name:_Jon Watts_>],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2021,8.2,766163,,
The Prestige,2.39 : 1,"$40,000,000 (estimated)","$109,676,311, 08 Feb 2007",[<Person id:0634240[http] name:_Christopher Nolan_>],"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",2006,8.5,1341865,,
Gandhi,2.20 : 1 (70 mm prints),"$22,000,000 (estimated)","$127,767,889",[<Person id:0000277[http] name:_Richard Attenborough_>],"['Biography', 'Drama', 'History']",1982,8.0,233834,,
Ocean's Eleven,2.39 : 1,"$85,000,000 (estimated)","$450,717,150",[<Person id:0001752[http] name:_Steven Soderbergh_>],"['Crime', 'Thriller']",2001,7.7,581504,,
Ace Ventura: Pet Detective,1.85 : 1,"$12,000,000 (estimated)","$107,217,396",[<Person id:0001723[http] name:_Tom Shadyac_>],['Comedy'],1994,6.9,306883,,
A Bridge Too Far,2.20 : 1 (70 mm prints),"$26,000,000 (estimated)",,[<Person id:0000277[http] name:_Richard Attenborough_>],"['Drama', 'History', 'War']",1977,7.4,57823,,
The Batman,2.39 : 1,"$200,000,000 (estimated)",,[<Person id:0716257[http] name:_Matt Reeves_>],"['Action', 'Crime', 'Drama', 'Thriller']",2022,7.8,665894,,
Tenacious D in the Pick of Destiny,1.85 : 1,,,[<Person id:0528381[http] name:_Liam Lynch_>],"['Adventure', 'Comedy', 'Music', 'Musical']",2006,6.8,110645,,
Django: Unchained,2.39 : 1,"$100,000,000 (estimated)","$425,368,238",[<Person id:0000233[http] name:_Quentin Tarantino_>],"['Drama', 'Western']",2012,8.4,1566493,,
Baby Driver,2.39 : 1,"$34,000,000 (estimated)","$228,104,185",[<Person id:0942367[http] name:_Edgar Wright_>],"['Action', 'Crime', 'Drama', 'Music']",2017,7.6,548910,,
The Big Short,2.35 : 1,"$28,000,000 (estimated)","$133,346,506",[<Person id:0570912[http] name:_Adam McKay_>],"['Biography', 'Comedy', 'Drama', 'History']",2015,7.8,437494,,
Kung Fury,1.85 : 1,,,[<Person id:6247887[http] name:_David Sandberg_>],"['Action', 'Comedy', 'Crime', 'Sci-Fi']",2023,,,,
Superbad,1.85 : 1,"$20,000,000 (estimated)","$169,871,719, 04 May 2008",[<Person id:0609549[http] name:_Greg Mottola_>],['Comedy'],2007,7.6,587908,,
Casablanca,1.37 : 1,"$950,000 (estimated)",,[<Person id:0002031[http] name:_Michael Curtiz_>],"['Drama', 'Romance', 'War']",1942,8.5,575696,,
Blade Runner,1.55 : 1 (shooting ratio),"$150,000,000 (estimated)","$259,344,059",[<Person id:0898288[http] name:_Denis Villeneuve_>],"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",2017,8.0,583546,,
Blade Runner 2049,1.55 : 1 (shooting ratio),"$150,000,000 (estimated)","$259,344,059",[<Person id:0898288[http] name:_Denis Villeneuve_>],"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",2017,8.0,583546,,
The Room,1.85 : 1,"$6,000,000 (estimated)",,[<Person id:1382072[http] name:_Tommy Wiseau_>],['Drama'],2003,3.6,90593,,
The Disaster Artist,1.85 : 1 (scenes from The Room),"$10,000,000 (estimated)",,[<Person id:0290556[http] name:_James Franco_>],"['Biography', 'Comedy', 'Drama']",2017,7.3,156220,,
Megamind,2.39 : 1,"$130,000,000 (estimated)","$321,885,765, 24 Feb 2011",[<Person id:0569891[http] name:_Tom McGrath_>],"['Animation', 'Action', 'Comedy', 'Crime', 'Family', 'Mystery', 'Sci-Fi', 'Thriller']",2010,7.3,268246,,
Paul,,,,,"['Documentary', 'Comedy', 'Drama']",2023,7.0,590,,
Top Gun,1.33 : 1 (open matte),"$15,000,000 (estimated)","$356,830,601",[<Person id:0001716[http] name:_Tony Scott_>],"['Action', 'Drama']",1986,6.9,458249,,
Ali,2.39 : 1,"$107,000,000 (estimated)","$87,713,825",[<Person id:0000520[http] name:_Michael Mann_>],"['Biography', 'Drama', 'Sport']",2001,6.7,101396,,
"Everything, Everywhere, All at Once",1.33 : 1 (some scenes),"$25,000,000 (estimated)",,"[<Person id:3453283[http] name:_Dan Kwan_>, <Person id:3215397[http] name:_Daniel Scheinert_>]","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",2022,8.0,311263,,
American Psycho,1.78 : 1 (open matte Blu-ray),"$7,000,000 (estimated)","$34,266,564",[<Person id:0366004[http] name:_Mary Harron_>],"['Crime', 'Drama', 'Horror']",2000,7.6,632727,,
Shaun of the Dead,1.78 : 1 (negative ratio),"GBP4,000,000 (estimated)","$30,039,392",[<Person id:0942367[http] name:_Edgar Wright_>],"['Comedy', 'Horror']",2004,7.9,563580,,
Silence,2.39 : 1,"$46,000,000 (estimated)","$23,737,523",[<Person id:0000217[http] name:_Martin Scorsese_>],"['Drama', 'History']",2016,7.1,114936,,
